Nome,Punteggio,Fantamedia anno 2024-2025,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Presenze 2024-2025,Fanta Media 2024-2025,FM su tot gare 2024-2025,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
HENRIQUE LUIS,79,nd,nd,nd,33,0.00,0.00,21/30,4/7,4/7,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",80,80,False,True,False,Inter,STABLE,0
LOBOTKA STANISLAV,78,6.09,5.92,6.34,29,6.09,4.65,21/30,0/3,0/3,CEN,"['Fuoriclasse', 'Titolare', 'Buona Media']",40,60,False,False,False,Napoli,UP,29
SOHM SIMON,77,6.27,nd,nd,35,6.27,5.78,21/30,3/5,3/5,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60,60,False,True,False,Fiorentina,STABLE,35
FOFANA YOUSSOUF,79,6.24,nd,nd,33,6.24,5.42,21/30,0/3,3/5,CEN,"['Titolare', 'Buona Media', 'Assistman']",60,60,False,False,False,Milan,STABLE,33
MCKENNIE WESTON,77,6.22,6.33,5.97,30,6.22,4.91,21/30,3/5,3/5,CEN,"['Panchinaro', 'Buona Media', 'Falloso']",60,60,False,False,False,Juventus,DOWN,30
ADLI YACINE,78,7.00,6.35,nd,21,7.00,3.87,11/20,0/3,3/5,CEN,"['Outsider', 'Panchinaro', 'Buona Media']",60,60,True,True,False,Milan,UP,21
KONE MANU,78,6.38,nd,nd,33,6.38,5.54,21/30,3/5,3/5,CEN,"['Titolare', 'Buona Media']",60,40,True,False,False,Roma,STABLE,33
MODRIC LUKA,77,nd,nd,nd,35,6.60,6.08,21/30,3/5,4/7,CEN,"['Fuoriclasse', 'Titolare', 'Assistman', 'Rigorista', 'Piazzati']",60,60,False,True,False,Milan,STABLE,0
KOSTIC FILIP,77,nd,6.00,6.60,27,0.00,0.00,0/10,0/3,0/3,CEN,"['Panchinaro', 'Assistman', 'Falloso']",20,40,False,False,False,Juventus,STABLE,0
EL  AYNAOUI NEIL,76,nd,nd,nd,24,6.80,4.29,21/30,3/5,3/5,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Goleador']",60,80,False,True,False,Roma,STABLE,0
LOVRIC SANDI,75,6.15,6.13,6.71,33,6.15,5.34,21/30,3/5,0/3,CEN,"['Titolare', 'Buona Media', 'Goleador']",60,60,False,False,False,Udinese,UP,33
PELLEGRINI LORENZO,76,5.89,6.91,6.33,23,5.89,3.57,21/30,4/7,3/5,CEN,"['Titolare', 'Buona Media', 'Assistman', 'Piazzati']",60,60,False,False,False,Roma,DOWN,23
